COUNTRY,YEAR,LIFE AVERAGE,INCOME AVERAGE
country,1800,31.50376344,31.50376344
Afghanistan,1801,31.46344086,31.46344086
Angola,1802,31.48010753,31.48010753
Albania,1803,31.38548387,31.38548387
Andorra,1804,31.46075269,31.46075269
UAE,1805,31.58655914,31.58655914
Argentina,1806,31.64408602,31.64408602
Armenia,1807,31.5983871,31.5983871
Antigua and Barbuda,1808,31.38548387,31.38548387
Australia,1809,31.31344086,31.31344086
Austria,1810,31.54247312,31.54247312
Azerbaijan,1811,31.49946237,31.49946237
Burundi,1812,31.48870968,31.48870968
Belgium,1813,31.48387097,31.48387097
Benin,1814,31.53602151,31.53602151
Burkina Faso,1815,31.67795699,31.67795699
Bangladesh,1816,31.65591398,31.65591398
Bulgaria,1817,31.75752688,31.75752688
Bahrain,1818,31.59946237,31.59946237
Bahamas,1819,31.50591398,31.50591398
Bosnia and Herzegovina,1820,31.5844086,31.5844086
Belarus,1821,31.64892473,31.64892473
Belize,1822,31.75913978,31.75913978
Bolivia,1823,31.81129032,31.81129032
Brazil,1824,31.74462366,31.74462366
Barbados,1825,31.69784946,31.69784946
Brunei,1826,31.62311828,31.62311828
Bhutan,1827,31.66236559,31.66236559
Botswana,1828,31.6016129,31.6016129
Central African Republic,1829,31.58387097,31.58387097
Canada,1830,31.66989247,31.66989247
Switzerland,1831,31.63225806,31.63225806
Chile,1832,31.59354839,31.59354839
China,1833,31.58924731,31.58924731
Cote d'Ivoire,1834,31.57526882,31.57526882
Cameroon,1835,31.70752688,31.70752688
"Congo, Dem. Rep.",1836,31.67150538,31.67150538
"Congo, Rep.",1837,31.60591398,31.60591398
Colombia,1838,31.67096774,31.67096774
Comoros,1839,31.66129032,31.66129032
Cape Verde,1840,31.75107527,31.75107527
Costa Rica,1841,31.79677419,31.79677419
Cuba,1842,31.77150538,31.77150538
Cyprus,1843,31.75591398,31.75591398
Czech Republic,1844,31.8188172,31.8188172
Germany,1845,31.87204301,31.87204301
Djibouti,1846,31.5688172,31.5688172
Dominica,1847,31.64677419,31.64677419
Denmark,1848,31.64408602,31.64408602
Dominican Republic,1849,31.48172043,31.48172043
Algeria,1850,31.6655914,31.6655914
Ecuador,1851,31.83924731,31.83924731
Egypt,1852,31.88172043,31.88172043
Eritrea,1853,31.90806452,31.90806452
Spain,1854,31.80983871,31.80983871
Estonia,1855,31.87096774,31.87096774
Ethiopia,1856,31.91236559,31.91236559
Finland,1857,31.93924731,31.93924731
Fiji,1858,31.96989247,31.96989247
France,1859,31.96827957,31.96827957
"Micronesia, Fed. Sts.",1860,32.06827957,32.06827957
Gabon,1861,32.06236559,32.06236559
UK,1862,32.01505376,32.01505376
Georgia,1863,32.1,32.1
Ghana,1864,32.05483871,32.05483871
Guinea,1865,32.03655914,32.03655914
Gambia,1866,31.93924731,31.93924731
Guinea-Bissau,1867,31.96758065,31.96758065
Equatorial Guinea,1868,31.71677419,31.71677419
Greece,1869,32.0688172,32.0688172
Grenada,1870,32.34032258,32.34032258
Guatemala,1871,32.3,32.3
Guyana,1872,32.39731183,32.39731183
"Hong Kong, China",1873,32.50107527,32.50107527
Honduras,1874,32.57741935,32.57741935
Croatia,1875,32.47010753,32.47010753
Haiti,1876,32.69193548,32.69193548
Hungary,1877,32.78709677,32.78709677
Indonesia,1878,32.80698925,32.80698925
India,1879,32.95967742,32.95967742
Ireland,1880,32.97311828,32.97311828
Iran,1881,33.05322581,33.05322581
Iraq,1882,33.01290323,33.01290323
Iceland,1883,33.18924731,33.18924731
Israel,1884,33.35698925,33.35698925
Italy,1885,33.44462366,33.44462366
Jamaica,1886,33.51451613,33.51451613
Jordan,1887,33.59086022,33.59086022
Japan,1888,33.64354839,33.64354839
Kazakhstan,1889,33.64010753,33.64010753
Kenya,1890,33.42521505,33.42521505
Kyrgyz Republic,1891,33.65,33.65
Cambodia,1892,33.67526882,33.67526882
Kiribati,1893,33.76032258,33.76032258
St. Kitts and Nevis,1894,34.0188172,34.0188172
South Korea,1895,34.10483871,34.10483871
Kuwait,1896,34.21075269,34.21075269
Lao,1897,34.31612903,34.31612903
Lebanon,1898,34.36827957,34.36827957
Liberia,1899,34.35430108,34.35430108
Libya,1900,34.43709677,34.43709677
St. Lucia,1901,34.64301075,34.64301075
Liechtenstein,1902,34.74784946,34.74784946
Sri Lanka,1903,34.79569892,34.79569892
Lesotho,1904,34.83478495,34.83478495
Lithuania,1905,34.9,34.9
Luxembourg,1906,35.05107527,35.05107527
Latvia,1907,35.19892473,35.19892473
Morocco,1908,35.34354839,35.34354839
Monaco,1909,35.61075269,35.61075269
Moldova,1910,35.78655914,35.78655914
Madagascar,1911,35.91774194,35.91774194
Maldives,1912,36.15806452,36.15806452
Mexico,1913,36.19784946,36.19784946
Marshall Islands,1914,35.94408602,35.94408602
North Macedonia,1915,35.5577957,35.5577957
Mali,1916,35.69731183,35.69731183
Malta,1917,35.56397849,35.56397849
Myanmar,1918,23.54682796,23.54682796
Montenegro,1919,35.70806452,35.70806452
Mongolia,1920,35.98333333,35.98333333
Mozambique,1921,36.49193548,36.49193548
Mauritania,1922,36.85967742,36.85967742
Mauritius,1923,37.62150538,37.62150538
Malawi,1924,37.92903226,37.92903226
Malaysia,1925,38.10806452,38.10806452
Namibia,1926,38.51505376,38.51505376
Niger,1927,38.68978495,38.68978495
Nigeria,1928,39.03225806,39.03225806
Nicaragua,1929,39.05860215,39.05860215
Netherlands,1930,39.57741935,39.57741935
Norway,1931,39.57043011,39.57043011
Nepal,1932,39.58903226,39.58903226
Nauru,1933,39.39731183,39.39731183
New Zealand,1934,40.92365591,40.92365591
Oman,1935,41.32473118,41.32473118
Pakistan,1936,41.84032258,41.84032258
Panama,1937,42.16344086,42.16344086
Peru,1938,42.70053763,42.70053763
Philippines,1939,43.18548387,43.18548387
Palau,1940,43.15322581,43.15322581
Papua New Guinea,1941,41.75215054,41.75215054
Poland,1942,41.62311828,41.62311828
North Korea,1943,41.46451613,41.46451613
Portugal,1944,41.31451613,41.31451613
Paraguay,1945,43.14569892,43.14569892
Palestine,1946,46.80537634,46.80537634
Qatar,1947,47.43225806,47.43225806
Romania,1948,49.7172043,49.7172043
Russia,1949,50.94301075,50.94301075
Rwanda,1950,52.56020408,52.56020408
Saudi Arabia,1951,52.82295918,52.82295918
Sudan,1952,53.52704082,53.52704082
Senegal,1953,54.04897959,54.04897959
Singapore,1954,54.53520408,54.53520408
Solomon Islands,1955,54.88265306,54.88265306
Sierra Leone,1956,55.27295918,55.27295918
El Salvador,1957,55.61734694,55.61734694
San Marino,1958,56.15255102,56.15255102
Somalia,1959,56.49489796,56.49489796
Serbia,1960,56.79642857,56.79642857
South Sudan,1961,57.275,57.275
Sao Tome and Principe,1962,57.75765306,57.75765306
Suriname,1963,58.14846939,58.14846939
Slovak Republic,1964,58.57397959,58.57397959
Slovenia,1965,58.93520408,58.93520408
Sweden,1966,59.31530612,59.31530612
Eswatini,1967,59.44642857,59.44642857
Seychelles,1968,59.79183673,59.79183673
Syria,1969,60.06071429,60.06071429
Chad,1970,60.32806122,60.32806122
Togo,1971,60.78061224,60.78061224
Thailand,1972,60.99336735,60.99336735
Tajikistan,1973,61.41173469,61.41173469
Turkmenistan,1974,61.84897959,61.84897959
Timor-Leste,1975,62.12908163,62.12908163
Tonga,1976,62.36071429,62.36071429
Trinidad and Tobago,1977,62.9494898,62.9494898
Tunisia,1978,63.24132653,63.24132653
Turkey,1979,63.52040816,63.52040816
Tuvalu,1980,63.98163265,63.98163265
Taiwan,1981,64.21989796,64.21989796
Tanzania,1982,64.24438776,64.24438776
Uganda,1983,64.59438776,64.59438776
Ukraine,1984,64.85102041,64.85102041
Uruguay,1985,65.14081633,65.14081633
