country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,1720,3000.0,3400.0,5380,12000.0,15000,53000,61800,70000,98400.0,103000.0,109000,114000.0,121000.0,128000.0,132000,0.0,135000,139000,140000.0,141000.0,0,0.0,0.0,141000.0,141000,141000.0,0.0,0.0
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,25000,200000,600000.0,1200000.0,2520000,4670000.0,7900000.0,10500000.0,10200000,13800000.0,15300000,16800000,18400000.0,19700000.0,21600000,23900000.0,22000000.0,22600000.0,22700000,22700000.0,22800000.0,23000000.0
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1100,1820,1990,3300.0,7050.0,9820,24000.0,25800,75000,140000,350000,740000.0,1610000.0,3050000,4960000.0,6770000.0,8109999.999999999,9400000,12100000.0,12800000,13300000,14100000.0,13900000.0,13000000,13300000.0,13300000.0,14800000.0,14600000,15300000.0,23700000.0,25700000.0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2300.0,3300.0,5600,11000.0,29800,393000,851000,1100000,1260000.0,1530000.0,1910000,2320000.0,1860000.0,2460000.0,2690000,3100000.0,3500000,3690000,3360000.0,3400000.0,3370000,3630000.0,2710000.0,2630000.0,2620000,2640000.0,2780000.0,2610000.0
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770.0,780,784,2830,5490.0,8620.0,14100,20600.0,23500,29400,32800,51900,58400.0,64599.99999999999,69000,63500.0,64200.0,64500.0,65500,65000.0,63900,63900,66200.0,71300.0,76100,80300.0,82600.0,87900.0,80400,93800.0,114000.0,126000.0
UAE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2330,3560,4940,7920,11200,13700,13800,24900,33600,43000,48900.0,70600,91500,129000,194000.0,309000.0,493000,832000.0,1430000,1910000,2430000,2970000,3680000.0,4530000.0,5520000,7730000.0,9360000.0,10700000.0,10900000,11700000.0,13800000,16100000,16800000.0,17900000.0,19900000,19800000.0,20100000.0,19600000.0,18400000,18200000.0,20000000.0,21200000.0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,12000,25000,46600.0,112000,241000,405000,667000.0,2010000.0,2670000,3850000.0,6490000,6740000,6570000,7840000,13500000.0,22200000.0,31500000,40400000.0,46500000.0,52500000.0,57100000,60700000.0,64300000,67400000,61200000.0,61800000.0,63700000,61900000.0,58600000.0,56400000.0,54800000,59100000.0,59700000.0,62700000.0
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,300.0,5000.0,7830,8160.0,17500,25500,71300,114000,203000.0,318000.0,1260000,1880000.0,1440000.0,2190000.0,3870000,3210000.0,3320000,3350000,3460000.0,3460000.0,3430000,3490000.0,3580000.0,3620000.0,3490000,3600000.0,3760000.0,3960000.0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700.0,900,1200,1250,1300.0,1400.0,1500,1800.0,1990,2160,2040,2100,2250.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1300.0,1400.0,1500,8500.0,22000,25000,38200,46100,54000.0,86000.0,110000,112000.0,137000.0,135000.0,168000,176000.0,127000,114000,120000.0,176000.0,180000,184000.0,0.0,184000.0,184000,184000.0,0.0,0.0
